,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
2193,US,"This wine is a unique in the state blend and features Cinsault (35%), Grenache (35%) and Mourvèdre. Pale peach in color with a slight bronze tinge, the aromas are light, with notes of strawberry, citrus zest and mineral. The flavors are dry, sleek and high acid. It's a perfect summer wine.",McKinley Springs Vineyard,89,24,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Syncline 2016 McKinley Springs Vineyard Rosé (Horse Heaven Hills),Rosé,Syncline
2194,Chile,"Highly herbal aromas shadow black cherry, plum, oregano and beet scents. This feels plump and full, while the flavor profile is pure Carmenère—herbal, minty and peppery as well as black-fruit driven. Heat, herbs and spice are draped on the finish of this love-it-or-leave-it Chilean specialty.",Los Lingues Vineyard,88,20,Colchagua Valley,,,Michael Schachner,@wineschach,Casa Silva 2013 Los Lingues Vineyard Carmenère (Colchagua Valley),Carmenère,Casa Silva
2195,US,"Fresh-squeezed lemon and jalapeño open the bouquet of this wine, kosher-made in Berkeley by Covenant. With the right pairing, it'll sing, offering medium texture and a lengthy finish, the acidity balanced and in keeping with the fresh elements of tropical fruit and citrus.",Allan Nelson Vineyard,88,24,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Red C 2014 Allan Nelson Vineyard Sauvignon Blanc (Dry Creek Valley),Sauvignon Blanc,Red C
2196,US,"Floral aromas like lilac and lavender, then dry and substantial flavors like blueberry and boysenberry give this full-bodied wine an interesting personality. It tastes well structured with acidity and tannins, so it's well balanced and has an appetizing sense of reserve that will be great at the table.",Heringer Vineyard,88,25,California,Yolo County,Central Valley,Jim Gordon,@gordone_cellars,Rock Wall 2012 Heringer Vineyard Teroldego (Yolo County),Teroldego,Rock Wall
2197,US,"Rich aromas of black cherry, anise seeds and buttered violets greet the nose on this dense bottling of a grape that rarely gets solo treatment. The palate is tarry and grippy, with dried sour cherries, boysenberry, black pepper and tightly grained cedar flavors that approach pine sap.",Curtis Vineyard,88,30,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,Santa Barbara Winery 2012 Curtis Vineyard Petit Verdot (Santa Ynez Valley),Petit Verdot,Santa Barbara Winery
2198,Italy,"Aromas of ripe black plum, underbrush and exotic spice come together on this brawny red. The firm palate offers black cherry extract, blackberry jam, licorice and mocha alongside chewy tannins.",,88,50,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Santi 2010  Amarone della Valpolicella Classico,Red Blend,Santi
2199,France,"While the nose gives little away here apart from the slightest lemon flavors, the palate is lightly textured and shows straitlaced lemon freshness with bright rays of zesty fruit. It's an ideal, refreshing apéritif for warm summer days.",Tradition,88,18,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Sipp Mack 2014 Tradition Riesling (Alsace),Riesling,Sipp Mack
2200,US,"Smooth and spicy, this wine explodes in layers of cinnamon and clove dusted in sugary plum and black cherry, a powerful weight and degree of ripeness at its core. The finish is soft and lengthy in vanilla oak.",,88,62,California,Rutherford,Napa,Virginie Boone,@vboone,Terlato 2012 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Terlato
2201,US,"This solidly good block selection shows shy aromas of dark red and purple fruit with a touch of earth and asphalt. The palate is tart and tight, with a bit of sagebrush nuance.",Henry Ayrton's Block Rapley Trail Vineyard,88,85,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Thomas Fogarty 2012 Henry Ayrton's Block Rapley Trail Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Thomas Fogarty
2202,US,"Produced by the Terravant facility in Buellton, this shows lots of smoked pork and bacon fat against a boysenberry-fruit frame on the nose. Flavors are quite sanguine, with iron and blood elements, as well as more smoke and some dried herbs.",,88,32,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Tines 2013 Petite Sirah (Paso Robles),Petite Sirah,Tines
2203,US,"A blend of predominantly Merlot and Syrah, this wine offers aromas of raspberries, herbs, plum and vanilla. The flavors are sweet, plump and juicy, delivering a lot of bang for the buck.",Hot to Trot,88,10,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,14 Hands 2013 Hot to Trot Red (Columbia Valley (WA)),Red Blend,14 Hands
2204,US,Vibrant aromas of tangerine and flowers lead to sweet fruit flavors that show persistence. Enjoy it as an apéritif.,,88,10,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,14 Hands 2014 Moscato (Columbia Valley (WA)),Moscato,14 Hands
2205,Chile,"Nutty aromas of popcorn, buttered toast, peach and apple create a solid nose. This feels lively but also a bit oily. A mix of roasted nut, wood resin and pineapple flavors finish toasty, with racy acidity working as a preservative.",,88,20,Aconcagua Costa,,,Michael Schachner,@wineschach,Arboleda 2014 Chardonnay (Aconcagua Costa),Chardonnay,Arboleda
2206,US,"With 58% Mourvèdre, 20% Syrah, 20% Grenache and 2% Counoise grapes from the dry-farmed, head-pruned Old Oak Vineyard (formerly Sheep Camp Creek), this wine shows dried black cherries, pencil lead, uncrushed cloves and nutmeg on the nose. The palate is flatter, with cooked cherries as well as other dried purple and red fruits.",Oveja Negra,88,48,California,Paso Robles Willow Creek District,Central Coast,Matt Kettmann,@mattkettmann,Lone Madrone 2013 Oveja Negra Red (Paso Robles Willow Creek District),Rhône-style Red Blend,Lone Madrone
2207,France,"Generous, sweet pear fruit tumbles out over palate and throat, held carefully in check by fresh zestiness. This is about easy fruit and simple pleasure, held in beautiful balance. Drink soon.",Cuvée Romanus,88,19,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Lucien Albrecht 2014 Cuvée Romanus Pinot Gris (Alsace),Pinot Gris,Lucien Albrecht
2208,US,"A soft and layered expression of dense black cherry, chocolate and spicy tobacco, this is easy to enjoy and approachable, rich and round. A taste of black licorice dots the finishing moments.",,88,75,California,Napa Valley,Napa,Virginie Boone,@vboone,Merryvale 2012 Malbec (Napa Valley),Malbec,Merryvale
2209,US,"Dusty and leathery on the rustic nose, this shows slightly sour dried red fruits and anise. The palate is all about earth—sand, clay, dirt, etc.—along with plump, ripe cranberries and cinnamon spice.",,88,32,California,Arroyo Seco,Central Coast,Matt Kettmann,@mattkettmann,Mesa Del Sol 2011 Sangiovese (Arroyo Seco),Sangiovese,Mesa Del Sol
2210,US,"Concentrated in toasted marshmallow and juicy blackberry, this is a large, full-bodied wine marked by puckering tannins that still need time to resolve. Powerfully built, it's big on flavor and intensity, with vanilla on the finish.",Reserve,88,40,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Murphy-Goode 2012 Reserve Zinfandel (Alexander Valley),Zinfandel,Murphy-Goode
2211,US,"A strong note of grapefruit skin and juice, from ruby red to yellow, melds with crushed chalk and cider on the nose of this bottling. The citrus zest is prominent on the palate, as is more apple cider and a solid pithy grip, proving quite intriguing texturally.",Mitzi,88,,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Myka 2014 Mitzi Chardonnay (Monterey County),Chardonnay,Myka
2212,France,"Rounded rose and honey notes with inflections of apple and Mirabelle are cut very pleasingly by the citric freshness of tangerine peel. This is easy drinking, medium bodied and aromatic.",,88,23,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Paul Blanck 2014 Gewurztraminer (Alsace),Gewürztraminer,Paul Blanck
2213,Italy,"Produced with dried Garganega grapes, this boasts aromas and flavors of dried apricot, baked apple, citrus zest and toasted sensations. It ends on a note of roasted hazelnut.",Le Colombare,88,53,Veneto,Recioto di Soave,,Kerin O’Keefe,@kerinokeefe,Pieropan 2011 Le Colombare  (Recioto di Soave),Garganega,Pieropan
2214,France,"With a good structure, this is a solid wine from a small vineyard. It is dense with tannins as well as dark berry fruits and fresh acidity at the end. The wine will age well over the next few years, so drink from 2017.",Les Champs Claude,88,,Burgundy,Santenay,,Roger Voss,@vossroger,Henri de Villamont 2012 Les Champs Claude  (Santenay),Pinot Noir,Henri de Villamont
2215,US,"Lime pith, sharp gray slate, steel and a warmer lemon-curd aroma show on the nose of this wine from a region between Morgan Hill and Gilroy. Apples and pear-skin bitterness mark the palate that grows riper through the sip.",Estate Reserve,88,30,California,Santa Clara Valley,Central Coast,Matt Kettmann,@mattkettmann,Jason-Stephens 2012 Estate Reserve Chardonnay (Santa Clara Valley),Chardonnay,Jason-Stephens
2216,New Zealand,"This is round and mouthfilling without being fat or blowsy, finishing fairly crisp and dry. Along the way, hints of apple and citrus alternate with almond skin and cinnamon, providing a delicate balance of fruity and savory.",,88,17,Marlborough,,,Joe Czerwinski,@JoeCz,Kim Crawford 2014 Pinot Gris (Marlborough),Pinot Gris,Kim Crawford
2217,France,"The mellowness of baked apple envelops all other aromas. While the baked apple is also apparent on the palate, it is pulled into sharp focus by fresh, lively and bright lemon acidity.",Collection,88,21,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Kuentz-Bas 2014 Collection Riesling (Alsace),Riesling,Kuentz-Bas
2218,Chile,"Herbal, spicy tomato and red-berry aromas come with oak-based coffee notes. This feels full, saucy, fresh and largely complete. The blend is Carignan, Cabernet Sauvignon and Cabernet Franc, with the wine's aromas translating to flavors of stalky berry and coffee. Spice notes and dry tannins push the finish. Drink through 2019.",Sucesor,88,20,Maule Valley,,,Michael Schachner,@wineschach,Las Casas de Vacquería 2012 Sucesor Red (Maule Valley),Red Blend,Las Casas de Vacquería
2219,Chile,"Despite opening with saucy, earthy, gaseous aromas, this mountain-vineyard Pinot delivers textural balance and modest acidity in support of peppery, toasty, spicy flavors of dried cherry, tomato and earth. A mildly spicy, round finish provides for a good ending.",Espino,88,17,Maipo Valley,,,Michael Schachner,@wineschach,William Fèvre 2013 Espino Pinot Noir (Maipo Valley),Pinot Noir,William Fèvre
2220,US,"This is tropical, boisterous rendition of the grape, with heavy tuberose, white lily, peach and apple-blossom aromas. The palate combines honeysuckle, ripe apple flesh and pineapple-guava flavors.",,88,24,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Zinke 2013 Viognier (Santa Barbara County),Viognier,Zinke
2221,US,"Warm aromas of red cherries, star anise and cinnamon greet the nose with inviting brown spice scents on this entry-level bottling. Cinnamon, cranberry and black plum show on the palate, along with pencil-lead minerality and a tart plum-skin finish.",,88,14,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Hahn 2014 Pinot Noir (Monterey County),Pinot Noir,Hahn
2222,US,"The toast, freshly ground coffee, dark chocolate and cherry aromas pop. Plum and chocolate flavors are smooth in feel and linger on the finish.",Grand Estates,88,12,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Crest 2013 Grand Estates Merlot (Columbia Valley (WA)),Merlot,Columbia Crest
2223,US,"Shrouds of leafy herbs and savory stems lend a fresh tone to this brisk yet fruity, concentrated Cab. Crisp blackberry and currant flavors shine bright and pert on the palate, framed squarely by lingering strikes of tannin and acidity.",,88,15,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Fulkerson 2012 Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,Fulkerson
2224,Italy,Opens with dark concentration and extra flesh and density in terms of texture. There's an extra padding of softness that helps buffer the vintage's high acidity and natural firmness. Not ready to drink for another 10 years at least.,Riserva,94,92,Tuscany,Brunello di Montalcino,,,,Fornacina 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Fornacina
2225,Italy,"A rich and sophisticated wine, with loads of dark fruit and exotic spice. It's bright ruby-garnet appearance, with bright acidity and a fresh, lively finish.",Riserva,94,85,Tuscany,Brunello di Montalcino,,,,San Polino 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,San Polino
2226,Italy,"Tenuta di Sesta is run by a perfect father-mother-daughter-son team and is located in one of the least-traveled corners of Montalcino. The 2007 Brunello delivers sweet oak tones that drive the initial bouquet and are soon followed by bright cherry, vanilla bean, sweet mocha and rum cake. Pretty balsam notes at the back will undoubtedly increase and evolve with age. Cellar this wine 10 years.",,94,90,Tuscany,Brunello di Montalcino,,,,Tenuta di Sesta 2007  Brunello di Montalcino,Sangiovese Grosso,Tenuta di Sesta
2227,France,"At this stage, the wine is all dark structure and very firm. It will need time to develop its full potential as an intensely rich wine. Concentrated and firm, it is powered by tannins as well as sweet red fruits. So age for five years at least.",Petite Chapelle Premier Cru,94,85,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Louis Jadot 2009 Petite Chapelle Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot
2228,Italy,"The ripe fruit element is perfectly contained and just short of seeming overdone or jammy. It's soft and round, with loads of oak-driven spice, like cinnamon and ground clove, and plump tones of red cherry, blackberry and plum. What's really nice is the freshness and overall supple texture.",,94,70,Tuscany,Brunello di Montalcino,,,,Máté 2007  Brunello di Montalcino,Sangiovese Grosso,Máté
2229,US,"Made from eight vineyards located throughout this sprawling appellation, this wine showcases the art of the blend, and is an extraordinary achievement for its sheer opulence. Offers wave after wave of Pinot flavor, with superb tannins and mouthwatering acidity. The fact that this is Merry Edwards's least expensive Pinot Noir is amazing and makes it a special buy. Production was 2,370 cases.",,94,36,California,Sonoma Coast,Sonoma,,,Merry Edwards 2009 Pinot Noir (Sonoma Coast),Pinot Noir,Merry Edwards
2230,Italy,"Well stitched together with a broad, wide assembly of dark fruit, spice and cola-like aromas. All the wine's elements sing loud as a single chorus; bold, plush, chewy. Ends with ripe fruit, rum cake, pipe tobacco and dark espresso bean. Firm, great length.",,94,40,Tuscany,Brunello di Montalcino,,,,Molino di Sant'Antimo 2007  Brunello di Montalcino,Sangiovese Grosso,Molino di Sant'Antimo
2231,US,"A lovely Pinot, dry, crisp and silky, with ripe raspberry, strawberry and cherry fruit flavors, grounded by notes of grilled mushrooms, exotic spices and forest undergrowth. Sweetly delicious now, it should blossom over the next six years.",Rancho Ontiveros Vineyards,94,64,California,Santa Maria Valley,Central Coast,,,Native 9 2009 Rancho Ontiveros Vineyards Pinot Noir (Santa Maria Valley),Pinot Noir,Native 9
2232,Italy,"This wine has some big shoulders. There's a dusty, aged quality, with sophisticated, silky tannins and tertiary aromas of black licorice, dried tobacco, peppercorn and dried berry fruit. It's firm, tight and compact; age 10 more years.",Riserva,94,120,Tuscany,Brunello di Montalcino,,,,Podere Brizio 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Podere Brizio
2233,Italy,"Madre is the name of a beautiful vineyard parcel on the Poggio Antico estate, with views that extend from Montalcino to the Mediterranean Sea. This hearty blend of Sangiovese and Cabernet Sauvignon is intense and rich, with long-lasting notes of blackberry, smoke, spice and black pepper. The mouthfeel is lush and velvety.",Madre,94,73,Tuscany,Toscana,,,,Poggio Antico 2009 Madre Red (Toscana),Red Blend,Poggio Antico
2234,Italy,"This Brunello delivers an intense and complex bouquet featuring beautifully integrated aromas of dark fruit, spice, leather and tobacco. Tight tannins promise a long future ahead.",Riserva,94,65,Tuscany,Brunello di Montalcino,,,,Mocali 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Mocali
2235,US,"You know you're dealing with a great Pinot Noir when it's this delicious right out of the bottle, yet will age. This wine is enormously rich and sweet in cherries, blackberries, blueberries and cola, a wine that almost everyone will find delicious. Yet with thick tannins and brisk acidity, it has the protective structure to evolve over at least six years, and possibly longer.",Four Boys Vineyard,94,55,California,Santa Lucia Highlands,Central Coast,,,Pessagno 2009 Four Boys Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Pessagno
2236,Italy,"Opens with dark concentration and ripe berry fruit with layers of plum, blackberry, dark chocolate, pipe tobacco, cherry liqueur, cola and underbrush. It offers a wonderful 360-degree portrait of Sangiovese Grosso. Tight structure, integration and loads of fruity intensity. Drink after 2018.",,94,45,Tuscany,Brunello di Montalcino,,,,Pietranera 2007  Brunello di Montalcino,Sangiovese Grosso,Pietranera
2237,Italy,"This beautiful riserva opens with dark concentration and bold berry notes spanning from cassis to blackberry. It's a ripe, extracted wine with savory spice and cured meat aromas that fill in the back. Crushed black pepper and cardamom also make a brief, but lively, appearance.",Riserva,94,,Tuscany,Brunello di Montalcino,,,,Quattroventi 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Quattroventi
2238,US,"Just wonderful, showing the great richness and complexity of a top Santa Rita Pinot Noir. Partial whole-cluster fermentation gives the wine a spicy earthiness and full-bodied tannins, yet the underlying red berry and cherry fruit shines through. Showing well now and over the next six years.",Kessler-Haak Vineyard,94,46,California,Sta. Rita Hills,Central Coast,,,Samsara 2009 Kessler-Haak Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,Samsara
2239,Italy,"This full-bodied wine opens with compelling aromas of black fruit, smoked bacon, leather, cinnamon and crushed clove. There's a sassy, spicy characteristic here that is further underlined by the wine's natural sweetness and roundness.",Vigna Spuntali Val di Suga,94,106,Tuscany,Brunello di Montalcino,,,,Tenimenti Angelini 2006 Vigna Spuntali Val di Suga  (Brunello di Montalcino),Sangiovese Grosso,Tenimenti Angelini
2240,Italy,"Austere, tight and sophisticated, this well-extracted Brunello shows dry aromas of crushed granite along with ethereal tones of dried ginger, black licorice and root beer. Inky appearance with chewy richness. The mouthfeel is round, chewy and packed with sweet fruit and spice. Drink after 2015.",,94,72,Tuscany,Brunello di Montalcino,,,,Uccelliera 2007  Brunello di Montalcino,Sangiovese Grosso,Uccelliera
2241,US,"One sip is all it takes to know this is a terrific Pinot Noir. It's dry, silky and complex, and not only that, it will develop bottle nuance over the next six years. Rich and flamboyant in cherry pie filling, persimmon and mushu-plum sauce flavors, yet layered with earthy, foresty notes of mushrooms, soy sauce and balsam. You can drink it now, but give it an hour or two of decanting.",Cerise Vineyard,94,60,California,Anderson Valley,,,,Chronicle 2009 Cerise Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Chronicle
2242,US,"While the texture of this Pinot is silky and light, it's dramatic in flavor. The cherries, plums, pomegranates and persimmons are packed together into a dense core of taste, all spiced up with cinnamon, cloves and anise. Feels dramatic and complex, but young and fresh in acids and tannins. Give it 5–6 years.",Diopside,94,40,California,Sta. Rita Hills,Central Coast,,,Coghlan 2009 Diopside Pinot Noir (Sta. Rita Hills),Pinot Noir,Coghlan
2243,Italy,"This successful riserva displays opulence and a bold, modern style that focuses on bright cherry and savory spice aromas. The wine is loaded with density and richness, and combines a ripe soft feel with a lively berries on the finish.",Riserva,94,75,Tuscany,Brunello di Montalcino,,,,Collosorbo 2006 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Collosorbo
2244,France,"While the aromas of this young wine reveal considerable toast, on the palate the wine brings forward the ripe apricot and mango flavors to go with that wood. As it matures, these elements will coalesce with the taut, tense mineral texture into an superb, ageworthy terroir-driven wine.",Les Combettes Premier Cru,94,225,Burgundy,Puligny-Montrachet,,Roger Voss,@vossroger,Domaine Leflaive 2009 Les Combettes Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive
2245,France,"This rich wine balances ripe yellow fruits with intense citrus acidity in a harmonious whole. Its structure is laden with minerality, toast and a smooth, delicious creamy aftertaste.",Les Pucelles Premier Cru,94,260,Burgundy,Puligny-Montrachet,,Roger Voss,@vossroger,Domaine Leflaive 2009 Les Pucelles Premier Cru  (Puligny-Montrachet),Chardonnay,Domaine Leflaive
2246,US,"The vineyard is in the coolest part of the Green Valley of the Russian River Valley. The wine, which is totally dry, is marked by brilliant acidity and long hangtime flavors of oranges, Meyer lemons and kiwi fruit, enriched by barrel fermentation and aging.",Dutton Palms Vineyard Dutton Ranch,94,40,California,Russian River Valley,Sonoma,,,Dutton Estate 2010 Dutton Palms Vineyard Dutton Ranch Chardonnay (Russian River Valley),Chardonnay,Dutton Estate
2247,Italy,"Here's a gorgeous wine with a deep, inky color and super extraction that is elegant but powerful at the same time. This is a balanced wine, but it's also an intense wine, with loads of ripe fruit, spice and tobacco. It feels smooth and rich, with a finely crafted texture that is velvety and supple.",,94,55,Tuscany,Brunello di Montalcino,,,,Verbena 2007  Brunello di Montalcino,Sangiovese Grosso,Verbena
2248,Italy,"This is a lovely Brunello with black cherry, plum, smoke, bacon, leather and a drying touch of crushed mineral on the nose. It is rich and concentrated, with a slightly sweet-smelling bouquet. The mouthfeel is compact, tight and polished—but there is excellent length too.",,94,65,Tuscany,Brunello di Montalcino,,,,Castello Romitorio 2007  Brunello di Montalcino,Sangiovese Grosso,Castello Romitorio
2249,Italy,"Inky color, with a broad array of aromas, including earth, candied fruit, plum cake and cinnamon spice. Smooth and luscious in the mouth, where its tight structure shows promising potential for longevity.",Il Mio Brunello Riserva,94,150,Tuscany,Brunello di Montalcino,,,,Il Poggiolo E. Cosimi 2006 Il Mio Brunello Riserva  (Brunello di Montalcino),Sangiovese Grosso,Il Poggiolo E. Cosimi
2250,US,"A terrific Pinot Noir, from a winery compiling a serious track record. Grown on the Napa side of Carneros, the wine shows classic Primo's Hill character, with the blackberry pie, cola, mushu plum and sandalwood flavors accented by a little more acidity than usual. Defined by elegance and complexity, it's an ager, although it's beautiful now right out of the bottle. Should easily develop through 2015.",Primo's Hill,94,50,California,Carneros,Napa-Sonoma,,,Kazmer & Blaise 2009 Primo's Hill Pinot Noir (Carneros),Pinot Noir,Kazmer & Blaise
2251,US,"This is a big, mouthfilling Cabernet, rich and voluptuous in fruit. Although it's a bit hot in alcohol, you hardly notice it, with the explosion of blackberries, raisins and chocolate-covered cherries, made even richer by smoky-sweet oak. Delicious now and through 2014.",Series,87,22,California,Napa Valley,Napa,,,Kirkland Signature 2007 Series Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Kirkland Signature
2252,US,"A bit disjointed, with acidity sticking out, and the fruit tending toward jammy blackberries, raspberries and nectarines, leading to sharpness in the finish. Could mellow and improve in a couple years.",Reserve,87,65,California,Alexander Valley,Sonoma,,,Mantra 2006 Reserve Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Mantra
2253,US,"A good Cab, chockful of grilled blackberry, cassis, cocoa and sweet smoky oak flavors that finish rich and spicy. Has some real elegance, at an affordable price.",,87,20,California,Napa Valley,Napa,,,Turn Four 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Turn Four
2254,Argentina,"Chunky, broad and slightly rubbery smelling, with baked aromas, leather and other more serious scents. The palate is full-bodied and warm, but not all that complex. Flavors of baked plums, cassis and licorice are nice, and the finish brings chocolate brownie into the game. For immediate drinking.",Felino,87,19,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Viña Cobos 2007 Felino Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Viña Cobos
2255,US,"Rich, savory and appealing now for its smooth texture and forward flavors of cherries, raspberries, blackberries and oak. A lovely wine for grilled steaks and chops.",,87,25,California,Napa Valley,Napa,,,X 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,X
2256,Australia,"Not a wine for the faint of heart. Alluring notes of raspberry, blackberry, smoke and coconut set the scene for powerful flavors of strawberry and black pepper in the mouth. Tannins are abundant but polished. The finish is a bit of a disappointment, with a whisper of astringency and a huge hit of coconut. Still, well done and fairly priced. Drink with steak.",,87,16,South Australia,McLaren Vale,,,,Ballast Stone Estate Wines 2006 Shiraz (McLaren Vale),Shiraz,Ballast Stone Estate Wines
2257,Italy,"Pro Nobis is a good example of the Ruché grape (a mysterious variety from Piedmont with some similarities to Brachetto). The wine offers aromas of wild berries and blue violets, backed by medium consistency and bright acidity. Pair it with cheesy pasta dishes.",Pro Nobis,87,26,Piedmont,Ruché di Castagnole Monferrato,,,,Cantine Sant'Agata 2007 Pro Nobis  (Ruché di Castagnole Monferrato),Ruché,Cantine Sant'Agata
2258,France,"86-88 Barrel sample. Densely structured wine, all rich plums and berry fruit flavors. There is a strong amount of wood, but it is the juicy, just green, character of the wine which is most prominent.",Barrel sample,87,,Bordeaux,Médoc,,Roger Voss,@vossroger,Château la Tour de By 2008 Barrel sample  (Médoc),Bordeaux-style Red Blend,Château la Tour de By
2259,France,"86-88 Barrel sample An aroma that is almost port-like in its sweetness. To taste, the structure is lost in a swathe of ripeness that covers the fruit.",Barrel sample,87,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château Larrivet Haut-Brion 2008 Barrel sample  (Pessac-Léognan),Bordeaux-style Red Blend,Château Larrivet Haut-Brion
2260,Italy,"Tonic and fresh with vibrant tones of wild berry and forest floor, there is a rustic, almost savage quality to this wine that is really quite attractive. It would pair well with home-cooked meals of hand-kneaded pasta or boiled meats.",,87,16,Piedmont,Barbera d'Asti,,,,Colle dei Venti 2006  Barbera d'Asti,Barbera,Colle dei Venti
2261,France,"86-88 Barrel sample. Firm, with a bitter, tight edge, this has high acidity, spice, and a tight layer of tannins. For a second wine, this is not that accessible.",Barrel sample,87,,Bordeaux,Médoc,,Roger Voss,@vossroger,La Chapelle de Potensac 2008 Barrel sample  (Médoc),Bordeaux-style Red Blend,La Chapelle de Potensac
2262,Italy,"One of Italy's most interesting and least-know wines, Sforzato di Valetellina is made with dried Nebbiolo grapes in much the same way Amarone is made. In fact, sforzato means “forced” in Italian and alludes to the extra concentration given to the wine. With herbal and some bitter, leafy green notes, it's not a wine for everyone; it's sour in the mouth with an acid-driven close.",Canua,87,40,Lombardy,Valtellina Superiore,,,,Salis 1637 2002 Canua  (Valtellina Superiore),Nebbiolo,Salis 1637
2263,Italy,"There's a tonic quality to this Pinot Nero that combines ashy mineral notes with wild berries, toasted almonds and blue flowers. There's also a warm, sun-drenched quality that adds to the overall intensity and concentration.",,87,26,Lombardy,Oltrepò Pavese,,,,La Scolca 2004 Pinot Nero (Oltrepò Pavese),Pinot Nero,La Scolca
2264,France,"86-88 Barrel sample. Despite its initial edge of bitterness, this develops as a dense wine, packed with dark high toast and blackberry jelly flavors. The final bite of high extract spoils the finish.",Barrel sample,87,,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Malescasse 2008 Barrel sample  (Haut-Médoc),Bordeaux-style Red Blend,Château Malescasse
2265,Austria,"This is the lightest of the Grüners from Proidl, offering a refreshing burst of crisp acidity along with the freshest spice. There is a fine tang of lemon, to keep the whole wine as bright as possible.",Senftenberger Freiheit,87,13,Niederösterreich,,,Roger Voss,@vossroger,Proidl 2008 Senftenberger Freiheit Grüner Veltliner (Niederösterreich),Grüner Veltliner,Proidl
2266,US,"Andy Beckstoffer is starting to release wines from his Red Hills vineyards, and this release is promising, especially at this price. It's fruity and tasty in blackberries and cherries, while oak adds rich notes of caramel and vanilla. Rich and savory, this Cab delivers lots to like.",Amber Knolls Vineyard,87,20,California,Red Hills Lake County,,,,Seventy Five Wine Co. 2006 Amber Knolls Vineyard Cabernet Sauvignon (Red Hills Lake County),Cabernet Sauvignon,Seventy Five Wine Co.
2267,US,"Here's a lusty, rugged Zinfandel marked by strong, superripe flavors. The blackberries and plums veer into currants and raisins, and finish spicy and dry, while enormously high alcohol gives the impression of heat. But that's Zinfandel for you. Needs a grilled flank steak to play against.",Rowe Vineyard Old Vines,87,40,California,Sonoma Valley,Sonoma,,,St. Francis 2007 Rowe Vineyard Old Vines Zinfandel (Sonoma Valley),Zinfandel,St. Francis
2268,US,"Made in a lighter style, this silky Pinot Noir has crisp acidity accentuating flavors of cherries, red licorice and cola. It's an elegant wine for drinking now.",Stromsoe Vineyard,87,30,California,San Luis Obispo County,Central Coast,,,Stephen's 2006 Stromsoe Vineyard Pinot Noir (San Luis Obispo County),Pinot Noir,Stephen's
2269,US,"Here's a big, bold Zinfandel that shows the variety's rustic, briary character. It's dry and tannic and rather high in alcohol, with flavors of wild, ripe forest berries, peppery spices, currants, bacon and sweet, smoky cedar. Nice now with BBQ.",,87,35,California,Dry Creek Valley,Sonoma,,,Adobe Road 2006 Zinfandel (Dry Creek Valley),Zinfandel,Adobe Road
